               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.041135,            0.032168,                   0,             0.86732,             0.79237,             0.84487,             0.33255,            0.049068,            0.027946,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040505,            0.031516,                   0,             0.90306,             0.69697,             0.75579,             0.25496,            0.053349,            0.037575,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.044163,            0.033483,                   0,             0.96761,             0.86869,             0.92193,             0.51836,            0.036209,             0.03006,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.041407,            0.033547,                   0,             0.93988,             0.94741,             0.95971,              0.4146,            0.040265,            0.024712,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.040948,            0.032415,                   0,             0.99312,              0.9697,             0.98538,               0.563,            0.032953,            0.022514,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.041164,            0.033222,                   0,             0.95688,             0.94949,             0.95579,             0.36515,            0.043771,            0.023907,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.039826,            0.030002,                   0,             0.98968,              0.9689,             0.97459,             0.54183,            0.032955,            0.023312,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.040188,            0.031655,                   0,             0.95645,             0.88744,              0.9318,             0.44525,            0.040811,              0.0275,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.037895,            0.030013,                   0,             0.91991,              0.9596,             0.94966,             0.34919,            0.042593,            0.023037,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.041214,             0.03412,                   0,             0.97592,              0.9798,             0.98113,             0.51078,            0.033489,            0.024338,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.038915,            0.032385,                   0,              0.9445,             0.90909,             0.94808,             0.40053,            0.040283,            0.023003,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.038236,            0.029615,                   0,             0.98563,              0.9697,             0.98343,             0.58304,            0.030617,            0.022633,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.037193,            0.030172,                   0,             0.92095,             0.94949,             0.96362,             0.44457,              0.0376,            0.022606,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.037717,            0.030731,                   0,             0.92146,              0.9481,             0.95985,             0.47602,            0.037749,            0.021706,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.037623,            0.031307,                   0,             0.96801,              0.9697,             0.98103,             0.59626,            0.030068,            0.020618,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,             0.03582,            0.028311,                   0,             0.91219,             0.83947,             0.87514,             0.41799,            0.043274,            0.032188,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.036914,            0.029242,                   0,             0.97736,              0.9697,             0.98015,             0.59764,            0.030962,            0.021114,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03909,            0.030187,                   0,             0.96687,             0.94949,             0.96744,             0.39473,            0.040773,            0.021935,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.039533,            0.032193,                   0,             0.97826,              0.9697,             0.97358,             0.57177,            0.029782,            0.021168,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.035885,            0.029701,                   0,             0.93802,             0.93939,              0.9451,             0.39308,            0.041797,            0.022034,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.035329,            0.027359,                   0,             0.96726,             0.94949,             0.97097,             0.53839,             0.03224,            0.021004,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036769,            0.030401,                   0,             0.97807,              0.9596,             0.96839,             0.49261,            0.034503,            0.021694,                   0,            0.006535,            0.006535,            0.006535
                  72,              0.0381,            0.029764,                   0,             0.97847,              0.9596,             0.97273,             0.53838,            0.031759,            0.021587,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035567,            0.029247,                   0,             0.96764,             0.94949,             0.97123,             0.41034,             0.04066,            0.022305,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.037007,            0.031218,                   0,             0.98852,              0.9697,             0.97573,             0.57975,            0.029066,            0.022518,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.036534,            0.029685,                   0,             0.96682,             0.94949,             0.97082,             0.41419,            0.038707,            0.022114,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.035456,            0.030656,                   0,             0.95789,             0.93939,             0.96217,             0.45312,            0.038112,            0.022419,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033211,            0.028657,                   0,             0.98799,              0.9697,             0.99282,             0.50265,            0.034709,            0.021641,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.034016,            0.029417,                   0,             0.99861,              0.9798,             0.98595,              0.5474,            0.031239,            0.020931,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.03555,            0.027639,                   0,             0.98781,              0.9697,             0.97585,             0.42633,            0.037791,            0.021694,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.034738,            0.027541,                   0,             0.96966,              0.9684,             0.97941,             0.54194,            0.033495,            0.020832,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033737,            0.029202,                   0,             0.98811,              0.9697,             0.98367,             0.45808,            0.038862,            0.022316,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.035275,            0.030269,                   0,             0.98838,              0.9697,             0.98851,             0.62938,            0.028434,            0.019779,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034096,            0.029951,                   0,             0.96936,             0.95859,             0.97952,             0.45561,            0.037954,            0.020748,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.033929,            0.028899,                   0,             0.98799,              0.9697,              0.9875,             0.59128,            0.030094,            0.019829,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.032908,            0.027065,                   0,             0.97849,              0.9596,             0.98025,             0.43122,            0.039594,            0.020798,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.035926,            0.030249,                   0,             0.99871,              0.9798,             0.98649,             0.57774,            0.029451,            0.019787,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.035066,            0.029349,                   0,             0.97818,              0.9596,             0.98176,             0.52778,            0.033678,             0.02055,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.034462,            0.028273,                   0,                   1,             0.97681,             0.98493,             0.60777,            0.030298,            0.021065,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032582,            0.029239,                   0,             0.98878,              0.9798,              0.9852,             0.51238,            0.034124,            0.020824,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.032296,            0.026077,                   0,             0.97546,              0.9697,              0.9658,             0.52993,            0.034442,            0.021816,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.032936,            0.027352,                   0,                   1,             0.96747,             0.97382,             0.50708,            0.034273,            0.021114,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.031612,            0.027812,                   0,               0.969,              0.9596,             0.98862,             0.48608,            0.035715,            0.021122,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030564,            0.026763,                   0,             0.97935,              0.9581,             0.96621,             0.50084,            0.035443,            0.021816,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.030395,            0.025982,                   0,             0.97958,               0.969,             0.98518,             0.49302,            0.035683,            0.020298,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032529,            0.027975,                   0,             0.95876,             0.94949,             0.96633,             0.50729,            0.035119,            0.020649,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.031447,            0.027745,                   0,             0.95746,             0.93939,             0.95256,             0.48325,            0.037112,            0.021503,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.033451,            0.028947,                   0,             0.98984,              0.9899,             0.98479,              0.4979,            0.034832,            0.020378,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.031392,            0.028006,                   0,             0.96749,             0.93939,             0.96223,             0.46826,            0.037029,            0.021858,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031238,            0.025675,                   0,             0.97779,             0.94949,              0.9754,             0.54114,            0.032887,             0.02076,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.031216,            0.028187,                   0,             0.98957,             0.95829,             0.97836,             0.52656,            0.032604,            0.021145,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.031977,            0.027153,                   0,                   1,              0.9696,             0.96552,               0.491,            0.035127,            0.022038,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.031343,            0.027163,                   0,             0.98829,             0.85266,             0.90629,             0.44858,            0.039261,            0.031067,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.03122,            0.026387,                   0,             0.99987,              0.9697,             0.96796,             0.63255,            0.028138,            0.020851,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.032759,            0.025139,                   0,             0.99905,              0.9697,             0.97984,              0.5034,             0.03467,            0.020554,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.032022,            0.027797,                   0,                   1,             0.97888,             0.98541,             0.57165,            0.030671,            0.019852,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.030339,            0.026836,                   0,                   1,             0.97874,             0.98112,             0.48084,            0.035476,            0.020893,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.029459,            0.024691,                   0,             0.98881,              0.9697,             0.98049,             0.55029,            0.031557,            0.020298,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.030851,            0.028329,                   0,             0.98803,              0.9697,             0.97865,             0.52285,            0.033175,            0.020599,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.032355,            0.028498,                   0,             0.98978,             0.97827,              0.9794,             0.49611,            0.033843,            0.020538,                   0,            0.004654,            0.004654,            0.004654
                 110,              0.0306,            0.026807,                   0,              0.9898,             0.97975,             0.98388,             0.54575,            0.032552,            0.020256,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.029342,            0.027068,                   0,             0.98896,              0.9798,             0.98172,             0.56329,             0.03185,            0.019566,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.030334,            0.026806,                   0,             0.98763,              0.9697,             0.98235,             0.52913,            0.033679,            0.020168,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.030482,            0.026837,                   0,             0.99966,              0.9798,             0.98555,             0.59701,            0.028777,            0.018848,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.030374,            0.024691,                   0,             0.97642,              0.9596,             0.97603,             0.47386,            0.036954,            0.019993,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.029566,            0.025885,                   0,             0.98988,             0.98804,             0.98532,             0.50509,            0.033987,             0.02018,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.028701,             0.02515,                   0,             0.99871,              0.9697,             0.97564,              0.5224,            0.033289,             0.02108,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.028666,             0.02521,                   0,             0.99884,              0.9697,             0.96828,             0.57106,            0.030601,            0.021858,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.029789,            0.027482,                   0,             0.99943,              0.9798,              0.9848,             0.57132,            0.030802,            0.019836,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029382,            0.026425,                   0,                   1,             0.98926,             0.98543,             0.55515,            0.031566,            0.019344,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.028241,            0.025361,                   0,             0.98979,             0.97934,             0.98317,             0.53944,            0.033966,            0.019886,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.029064,            0.025145,                   0,             0.98878,              0.9798,             0.98251,             0.57989,            0.030083,             0.01902,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.028043,            0.025291,                   0,              0.9983,              0.9798,             0.98568,             0.54446,             0.03133,            0.019138,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.029322,            0.024483,                   0,             0.99814,              0.9798,             0.98564,              0.6334,            0.026656,            0.018372,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.029445,            0.027835,                   0,             0.98849,              0.9697,             0.97788,             0.55948,            0.031847,            0.021465,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.028117,            0.025458,                   0,              0.9881,              0.9596,             0.97313,             0.51771,            0.033872,            0.020149,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.028949,            0.024162,                   0,             0.99823,              0.9697,              0.9807,             0.58645,            0.029891,              0.0196,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.028614,            0.025709,                   0,             0.98745,              0.9697,             0.97254,             0.54924,            0.032015,            0.019806,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.027764,            0.024834,                   0,             0.98621,              0.9697,             0.97509,             0.51409,             0.03401,            0.020149,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.029762,            0.028057,                   0,             0.98953,             0.95449,             0.96551,             0.52133,             0.03327,            0.020309,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.028507,            0.024673,                   0,             0.96964,             0.96789,             0.97625,             0.40498,            0.039797,            0.021099,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.029144,            0.026392,                   0,             0.98594,              0.9798,             0.98614,              0.5325,            0.031945,            0.019474,                   0,            0.003565,            0.003565,            0.003565
